"Site Code","Site Name","Site Type","Site Category","Region","Status","Address","GIS Migrated","Floorplans","Location","Comments","Restricted","Freehold/Leasehold","Power Resilience"
"LTNDN1","Wolston Close","Redstream",,"NORTHERN HOME COUNTIES","Normal","NEXT TO 55 WOLSTON CLOSE
LUTON
BEDFORDSHIRE
LU1 5SS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LTNDN1.pdf?CT=1607964858729&OR=ItemsView","https://www.google.com/maps/place/51°52%2739.8%22N+0°25%2752.1%22W/@51.8776519,-0.4313643,170m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.8777139!4d-0.4311389","Data migrated to GIS","False","Leasehold","N only"
"MKSTN1","Wolverton Railway Station","Redstream",,"NORTHERN HOME COUNTIES","Normal","STRATFORD ROAD
MILTON KEYNES
BUCKINGHAMSHIRE
MK12 5LJ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/MKSTN1.pdf?CT=1607965787997&OR=ItemsView","https://www.google.com/maps/place/52°03%2757.4%22N+0°48%2715.6%22W/@52.0658756,-0.8049873,339m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.0659389!4d-0.8043361","Data migrated to GIS","False","Leasehold","N only"
"IODTA1","London - Anchorage House","Redstream.","[""OpX""]","LONDON","Normal","2 ANCHORAGE HOUSE
CLOVE CRESCENT
TOWER HAMLETS
LONDON
E14 2BE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/IODTA1.pdf","https://www.google.com/maps/place/Anchorage+House/@51.5103875,-0.0071647,368m/data=!3m2!1e3!4b1!4m5!3m4!1s0x48760384d4f25683:0x5aa841624d0314d6!8m2!3d51.5103842!4d-0.0049707","Data migrated to GIS","False","Leasehold","N only"
"BDFN02 & BDFTN1","Bedford - Manton Lane","Redstream_PABR","[""PABR"",""PX"",""RA"",""OpX""]","Northern Home Counties","Normal","MANTON LANE
BEDFORD
BEDFORDSHIRE
MK41 7PX","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BDFN02%20%26%20BDFTN1.pdf","https://www.google.com/maps/place/Manton+Centre,+Manton+Ln,+Bedford+MK41+7PX/@52.1506924,-0.478183,316m/data=!3m1!1e3!4m5!3m4!1s0x4877b72bcb0d27ed:0x44a3ff31dd648db!8m2!3d52.1506233!4d-0.477655","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BHMN05","Birmingham - Holliday Street","Redstream_PABR",,"Midlands","Normal","HOLLIDAY ST
BIRMINGHAM
WEST MIDLANDS
B1 1TQ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BHMN05.pdf?CT=1607951208852&OR=ItemsView","https://www.google.com/maps/place/52°28%2734.7%22N+1°54%2720.3%22W/@52.4763056,-1.9056389,313m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.4763056!4d-1.9056389","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BHMN08","Birmingham - Holliday Street","Redstream_PABR","[""PX"",""RA"",""OpX""]","Midlands","Normal","HOLLIDAY ST
BIRMINGHAM
WEST MIDLANDS
B1 1TQ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BHMN08.pdf","https://www.google.com/maps/place/52°28%2734.7%22N+1°54%2720.3%22W/@52.4763056,-1.9056389,313m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.4763056!4d-1.9056389","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BHMN07","Birmingham - Holliday Street","Redstream_PABR","[""PABR""]","Midlands","Normal","HOLLIDAY ST
BIRMINGHAM
WEST MIDLANDS
B1 1TQ","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BHMN07.pdf?csf=1&web=1&e=CGMpRJ","https://www.google.com/maps/place/52°28%2734.7%22N+1°54%2720.3%22W/@52.4763056,-1.9056389,313m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.4763056!4d-1.9056389","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BSHN03","Birmingham - Smallheath","Redstream_PABR",,"Midlands","Normal","TALBOT WAY
BIRMINGHAM
WEST MIDLANDS
B10 0HJ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BSHN03.pdf?CT=1607951775823&OR=ItemsView","https://www.google.com/maps/place/52°27%2752.6%22N+1°50%2738.8%22W/@52.464612,-1.8447015,315m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.4646111!4d-1.8441111","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BSHN08","Birmingham - Smallheath","Redstream_PABR","[""PX"",""RA"",""OpX""]","Midlands","Normal","TALBOT WAY
BIRMINGHAM
WEST MIDLANDS
B10 0HJ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BSHN08.pdf","https://www.google.com/maps/place/52°27%2752.6%22N+1°50%2738.8%22W/@52.464612,-1.8447015,315m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.4646111!4d-1.8441111","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BSHN07","Birmingham - Smallheath","Redstream_PABR","[""PABR""]","Midlands","Normal","TALBOT WAY
BIRMINGHAM
WEST MIDLANDS
B10 0HJ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BSHN07.pdf","https://www.google.com/maps/place/52°27%2752.6%22N+1°50%2738.8%22W/@52.464612,-1.8447015,315m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.4646111!4d-1.8441111","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BKLN05","Bracknell - Sterling Centre Unit 6","Redstream_PABR","[""PABR""]","Thames Valley","Normal","STERLING CENTRE
BRACKNELL
BERKSHIRE
RG12 2PW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BKLN05.pdf?CT=1607952059546&OR=ItemsView","https://www.google.com/maps/place/51°24%2746.3%22N+0°44%2716.5%22W/@51.412862,-0.7385274,323m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4128611!4d-0.7379167","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BKLN05 Ext Room","Bracknell - Sterling Centre Unit 6","Redstream_PABR","[""PX"",""RA"",""OpX"",""NFV""]","Thames Valley","Normal","STERLING CENTRE
BRACKNELL
BERKSHIRE
RG12 2PW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BKLN05%20EXT%20ROOM.pdf","https://www.google.com/maps/place/51°24%2746.3%22N+0°44%2716.5%22W/@51.412862,-0.7385274,323m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4128611!4d-0.7379167","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BTFTB1","Brentford - Syon Gateway","Redstream_PABR","[""PABR"",""PX"",""RA"",""OpX""]","Outer London","Normal","SYON GATE WAY
BRENTFORD
MIDDLESEX
TW8 9DD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BTFTB1.pdf?CT=1607952369503&OR=ItemsView","https://www.google.com/maps/place/51°29%2700.5%22N+0°19%2725.1%22W/@51.4834731,-0.3242301,322m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4834722!4d-0.3236389","Data migrated to GIS","False","Leasehold","N only"
"BTLN08","Bristol - St Thomas Street","Redstream_PABR","[""PABR""]","South West","Normal","ST. THOMAS ST.
BRISTOL
AVON
BS1 6JS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BTLN08.pdf?CT=1607952618957&OR=ItemsView","https://www.google.com/maps/place/51°27%2705.0%22N+2°35%2718.1%22W/@51.4513898,-2.5889519,321m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4513889!4d-2.5883611","Data migrated to GIS","False","Freehold","N only"
"BTLN09","Bristol - St Thomas Street","Redstream_PABR","[""PX"",""RA"",""OpX"",""Amitie""]","South West","Normal","ST. THOMAS ST.
BRISTOL
AVON
BS1 6JS","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BTLN09.pdf","https://www.google.com/maps/place/51°27%2705.0%22N+2°35%2718.1%22W/@51.4513898,-2.5889519,321m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4513889!4d-2.5883611","Data migrated to GIS","False","Freehold","N only"
"BTLCD1","Bristol - St Thomas Street","Redstream_PABR","[""PABR""]","South West","Normal","ST. THOMAS ST.
BRISTOL
AVON
BS1 6JS","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BTLCD1.pdf?csf=1&web=1&e=MMFIZG","https://www.google.com/maps/place/51°27%2705.0%22N+2°35%2718.1%22W/@51.4513898,-2.5889519,321m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4513889!4d-2.5883611","Data migrated to GIS","False","Freehold","N only"
"EDBTN1","Edinburgh - Norton Park","Redstream_PABR","[""PABR""]","Scotland","Normal","NORTON PARK
EDINBURGH
MIDLOTHIAN
EH7 5RS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/EDBTN1.pdf?CT=1607953100321&OR=ItemsView","https://www.google.com/maps/place/55°57%2732.4%22N+3°10%2704.7%22W/@55.9590008,-3.1685619,288m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.959!4d-3.1679722","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"GLWN07","Glasgow - Kelvin Avenue","Redstream_PABR","[""PABR"",""PX"",""RA"",""OpX""]","Scotland","Normal","KELVIN AVENUE
GLASGOW
LANARKSHIRE
G52 4LT","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/GLWN07.pdf?CT=1607953467769&OR=ItemsView","https://www.google.com/maps/place/55°51%2745.0%22N+4°22%2705.1%22W/@55.8625078,-4.3686412,290m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.8625!4d-4.3680833","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"LDSCD2","Leeds - Milford Place","Redstream_PABR","[""PABR"",""PX"",""RA"",""OpX""]","North East","Normal","MILFORD PLACE
LEEDS
WEST YORKSHIRE
LS4 2BQ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LDSCD2.pdf?CT=1607953760671&OR=ItemsView","https://www.google.com/maps/place/53°48%2716.4%22N+1°34%2749.2%22W/@53.8045628,-1.5808852,305m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.8045556!4d-1.5803333","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"TGYN03","Leeds - Tingley","Redstream_PABR","[""PABR"",""PX"",""OpX""]","North East","Normal","TOPCLIFFE LANE
WAKEFIELD
WEST YORKSHIRE
WF3 1SN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/TGY-TGYN02-TGYN03-TGYN04.pdf","https://www.google.com/maps/place/53°44%2706.4%22N+1°34%2756.4%22W/@53.7351123,-1.5831632,305m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.7351111!4d-1.5823333","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"CHTN07","London - Chart Street","Redstream_PABR","[""PABR""]","Inner London","Normal","CHART STREET
LONDON
N1 6EF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CHTN07.pdf?CT=1607957043309&OR=ItemsView","https://www.google.com/maps/place/51°31%2740.9%22N+0°05%2713.5%22W/@51.5280408,-0.0876382","Data migrated to GIS","False","Leasehold","N only"
"SQYN02","London - Surrey Quays","Redstream_PABR","[""PABR"",""PX"",""RA"",""OpX""]","Inner London","Normal","CROFT ST.
SURREY QUAYS
LONDON
SE8 5DW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SQYN01_SQYN02.pdf?CT=1607957402454&OR=ItemsView","https://www.google.com/maps/place/51°29%2727.2%22N+0°02%2729.0%22W/@51.4908898,-0.0419802,321m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4908889!4d-0.0413889","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"MCRN12","Manchester - Salford Quays","Redstream_PABR","[""PABR"",""PX"",""RA"",""OpX""]","North West","Normal","BROADWAY
SALFORD
GREATER MANCHESTER
M50 2UW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/MCRN12.pdf?CT=1607948526067&OR=ItemsView","https://www.google.com/maps/place/53°28%2730.0%22N+2°18%2705.3%22W/@53.4750012,-2.3023042,307m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.475!4d-2.3014722","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"MCRN11","Manchester - Unit 1 Piccadilly Trading Estate","Redstream_PABR","[""PABR""]","North West","Normal","GREAT ANCOATS STREET 
PICCADILLY TRADING ESTATE
MANCHESTER
M1 2NP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/MCRN11.pdf?CT=1607947469540&OR=ItemsView","https://www.google.com/maps/place/53°28%2742.9%22N+2°13%2718.8%22W/@53.4785788,-2.2224382,306m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.4785833!4d-2.2218889","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"SDNN06","Swindon - Swindon Data Centre","Redstream_PABR","[""PABR"",""PX"",""RA"",""OpX"",""Amitie""]","South West","Normal","WHITEHILL WAY
SWINDON
WILTSHIRE
SN5 6LA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SDNN06.pdf?CT=1608031126742&OR=ItemsView","https://www.google.com/maps/place/Swindon+SN5+6LA/@51.5514763,-1.8477774,320m/data=!3m1!1e3!4m5!3m4!1s0x487143a316b068f7:0x41ab032eb5a070fb!8m2!3d51.5514452!4d-1.8473","Data migrated to GIS","False","Leasehold","N only"
"WAHP06","Watford - Holly Park Unit A","Redstream_PABR","[""PABR"",""PX"",""RA"",""OpX""]","Outer London","Normal","RYAN WAY
WATFORD
HERTFORDSHIRE
WD24 4YP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WAHP06.pdf?CT=1608031564360&OR=ItemsView","https://www.google.com/maps/place/51°40%2705.4%22N+0°23%2723.5%22W/@51.6681568,-0.3904096,321m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.6681667!4d-0.3898611","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
